line_number,context
2,"is of this opinion; 【DROUGHT】 or floods are excep ... s difference in the 【ADAPTATION】 of soils to crops, "
3,"7th, 175. After the 【RESTORATION】 he was stationed t "
5," churches-alms, and 【RESTORATION】 of ecclesiastical a"
9,"rder to effect that 【RESTORATION】, new taxes would, p"
12,"n the world, in the 【WETLAND】 and St. .Lawrence c"
13,looking to a strict 【CONSERVATION】 of the property ent
14,"perintendent of the 【WETLAND】 Canal, is in the ci"
15,"y. ""Prayers foe the 【RESTORATION】, of Archbishop Turc ... y. ""Prayers foe the 【RESTORATION】, of Archbishop Turc"
21,he Preservation and 【RESTORATION】 of - FEIY1ALE BEAUT
27,salt re-salt of the 【RESTORATION】 ot theLiberal-Conse ... salt re-salt of the 【RESTORATION】 ot theLiberal-Conse
28,l. The prisoner was 【DROUGHT】 up for examination 
29,ioned occasioned by 【NITROUS OXIDE】.' The method of inh
30,"les interesscs u la 【CONSERVATION】 du navire, il eu do ... , should compel the 【RESTORATION】 of Mr, Tasse to his ... OTTAWA. api Penenal 【ECOLOGICAL】 BBlaae Xartlnrea ml ... hich the action was 【DROUGHT】 to recover $2,0U0 f"
32,"isfortunes that law 【DROUGHT】 -n the country, (re ... rooke lMner; Forest 【CONSERVATION】 and Forest Laws: Th ... isfortunes that law 【DROUGHT】 -n the country, (re"
33,"esolved, alter some 【CONSERVATION】, to recom mend that ... he Preservation and 【RESTORATION】 of FEMALE BEAUTY On"
36,quantity of freight 【DROUGHT】 to us ria the Vermo
37,"itv. ""The plan i an 【ADAPTATION】 of -the process of  ... cy, and that in the 【RESTORATION】 of Herat to Persia,"
39,he Preservation and 【RESTORATION】 of FEMALE BEAUTY On
40, the merits of tli? 【ADAPTATION】. For the la dies th ... ng a remedy for the 【RESTORATION】 【RESTORATION】 of hair
41,"ipline, and for the 【RESTORATION】 of the convicts the ... ,. 052 in 1878. The 【WETLAND】 Canal shows a decre"
42,"the remarks of Aid. 【METHANE】 and Donovan, and ho"
45,"Boston, and for the 【RESTORATION】 of the property. .  ... Boston, and for the 【RESTORATION】 of the property. . "
46,he Prejervation and 【RESTORATION】 of FEMALE BEAUTY On ... he Prejervation and 【RESTORATION】 of FEMALE BEAUTY On
47,"practicability of a 【RESTORATION】"" of the Irish Parli"
49,"icy, looking to she 【RESTORATION】 of trade and the im"
51,"rgan the maximum of 【ADAPTATION】 of ""ami ukt are sus ... he Preservation and 【RESTORATION】 of bun.lred and sev"
55,m self and a bright 【ADAPTATION】 from the French cal
57,ian Moslems tor the 【RESTORATION】 of the pure faith o
58,stroy all hope of a 【RESTORATION】 to the confidence o
59,"reduced, demand the 【RESTORATION】 of their former was ...  oeiween ma present 【HABITAT】 and the United Stat"
60,"ment in the work of 【RESTORATION】, and that increased"
61,"at country, and the 【RESTORATION】 of a Liberal Admini ... inance Minister who 【DROUGHT】 about a series of d"
62," of Mr. Thomson, of 【WETLAND】, are referred to by"
63,fects with those of 【NITROUS OXIDE】. Erii-Isildened Eri ...  the demand for the 【RESTORATION】 of their independen
65,"k ,JhTou,d mean the 【RESTORATION】 of the anne.Se Prov"
66,- Pelletier for the 【RESTORATION】 of Clause XH of the
68,"at his only hope ot 【RESTORATION】 to health, consiste"
69,mily in safety. The 【RESTORATION】 of the Bourbons fou
70,ng a remedy few the 【RESTORATION】 【RESTORATION】 of hair
71,wife's slater .bill 【WETLAND】 ea al penina- Tlie 
72, (Law) sang a legal 【ADAPTATION】 of Deux Uen- darmes
73,sed his hojies of a 【RESTORATION】 of the equilibrium 
77,tage in a season of 【DROUGHT】 ; it keeps the surf ... n ingre dients. The 【RESTORATION】 of its original com
79,ost of it since the 【RESTORATION】. Of this total sum 
81,"he new locks on the 【WETLAND】 Canal. Plans, Speci"
82,"ataxa, April I. The 【DROUGHT】 which has prevailed"
83,f wages through the 【WETLAND】 canal at $I.25 per 
84,"ender for Hriusres, 【WETLAND】 Canal,"" will be rec"
85,"IS, Superintendent. 【WETLAND】 Canal Office, St. C"
86,"ghanistan after the 【RESTORATION】 of order these. The ... IS, Superintendent. 【WETLAND】 Canal Office, PfcCa"
88,Fathers believed in 【RESTORATION】 【RESTORATION】 some of
90,"Tender for Bridges, 【WETLAND】 Canal,"" will be rec"
91,"der for Lock Gates, 【WETLAND】 Canl, will be recei"
93,ing in favor of the 【RESTORATION】 to Italy of those I ... s machinery: Canaua!【CO2】& screws; Order 34 b ...  on the line of the 【WETLAND】 Canal. Tho for hijr
94,sors who I naa been 【DROUGHT】 torwara. ine nrst i
95,"Tender for Bridges, 【WETLAND】 Canal, will be rece"
96," ""Tender for Bridir 【WETLAND】 Canal, ' will be re"
97,point ot view. Aid. 【METHANE】 appeared not to fav ... ng a remedy for the 【RESTORATION】 【RESTORATION】 of hair ... e lv the ila'-aree. 【DROUGHT】 in Jamais ba create
101,"ief Engineer of the 【WETLAND】 canal works, statin"
102,ng a remedy for the 【RESTORATION】 【RESTORATION】 of hair
103,"ln9 new iocRs on th 【WETLAND】 Canal. Plana, Si-wM"
105,"ed to sm-icg tlieir 【LOSS AND DAMAGE】 by the receive unti ... he new locks on the 【WETLAND】 Canal. Plans, Speci"
106, proved its peifect 【ADAPTATION】 【ADAPTATION】 to our n
109,"05 ItT. B. COLCOCK, 【WETLAND】. 5tf Lli.mi 13 2111"
111,"cture on "" Israel's 【RESTORATION】 and her place in th"
113,"ised his hand as He 【DROUGHT】 it round, and depre ... ks sine; W Mc-Laren&【CO2】 Mc-Laren&【CO2】 cases "
116,"lere. props I) Cald 【WETLAND】 barges, prop St Pau"
119,"IS, Superintendent. 【WETLAND】 Canal Offloe, St. C"
122,es would regard the 【RESTORATION】 of the relations be
128,is mominir. and the 【DROUGHT】 shows sisrns of bre ... ng a remedy for the 【RESTORATION】 【RESTORATION】 of hair
129,ir hdelity on their 【RESTORATION】 to the principles o
131,"m Toronto; Alderman 【METHANE】, 【METHANE】, 4 can cat"
132,"r in this case, was 【DROUGHT】 up yesieruay aiioio"
133, the long continued 【DROUGHT】. The chief evil com
135,e knowledge of ! it 【DROUGHT】 far more pain than 
139, light E wtwf ; FEW 【ADAPTATION】 OF THE GULF ST8TE3I
140,g testiroohv to the 【RESTORATION】 of confidence. It i
141,inatcl fmm the long 【DROUGHT】. The ; ajeraent is 
143,inary extraordinary 【DROUGHT】 in ali the wood-pro
144,"n Kansas, where the 【DROUGHT】 at one lime threate ... ry party demand the 【RESTORATION】 of the liberty of t"
145, on. and io prevent 【LOSS AND DAMAGE】 in the preservation
