line_number,context
1," BRITISH car parts. 【RESTORATION】 panels & accessorie ...  BRITISH car parts. 【RESTORATION】 panels & accessorie ... satisfied by energy 【CONSERVATION】 programs,"" Dutton s ... ce, , ""Agreement on 【GLOBAL WARMING】"" or ; ""Recycling on ... nt. (CP) - The 1988 【DROUGHT】 on the Prairies and ... ut the same time as 【ECOLOGICAL】 concerns concerns o"
2,"MONTREAL, Beautiful 【RESTORATION】, ac, turn-key, clos ... MONTREAL, Beautiful 【RESTORATION】, ac, turn-key, clos ... ght. Towing 953-05l 【WETLAND】 AVeet Island Reg. S ... t by recent Prairie 【DROUGHT】s. Under the free-tr ... ker, and prevent an 【ECOLOGICAL】 disaster. Morocco s ... gent in designated, 【PROTECTED AREA】, for more informal  ... tion by encouraging 【DEFORESTATION】 or overgrazing, the"
3,"d as curator of the 【RESTORATION】. Fayed continued to ... of the forests. The 【CONSERVATION】ists point out that  ...  Australia today as 【HEATWAVE】 temperatures reachi ... h its 15-part radio 【ADAPTATION】 of the un-expurgate ... c. 6, their longest 【DROUGHT】 since they also wen ... d as curator of the 【RESTORATION】. Fayed continued to ... e threat pi a major 【ECOLOGICAL】 disaster was recedi ... genl In designated, 【PROTECTED AREA】. For more Informati"
4," BRITISH car parts. 【RESTORATION】 panels 8. accessori ...  BRITISH car parts. 【RESTORATION】 panels 8. accessori ... genl in designated, 【PROTECTED AREA】. For more informati ... nada's side. If the 【GLOBAL WARMING】 trend detected by s ... lition coalition of 【CONSERVATION】ists said yesterday. ... it by famine due to 【DROUGHT】 and crop failure, c ... reen and television 【ADAPTATION】 【ADAPTATION】 of the n ... to upset the global 【ECOSYSTEM】. Otherwise, the wor ... oil and gas through 【PERMAFROST】. Another factor wor"
5,"bou, Chou, Genou ma 【RESTORATION】s GO Harrigan I:35 p ... ment warning of an ""【ECOLOGICAL】 catastrophe of trag ... oor with fireplace. 【HABITAT】ion G A. Legaull, 69 ... oor with fireplace. 【HABITAT】ion G A. Legaull, 69 ... bou, Chou, Genou ma 【RESTORATION】s GO Harrigan I:35 p ... at have concern for 【CONSERVATION】."" At Twin Islands,  ... gent in designated, 【PROTECTED AREA】. For more Informati ...  Ontkean star in an 【ADAPTATION】 【ADAPTATION】 of Simon ... n-depth look at the 【ECOSYSTEM】 【ECOSYSTEM】 created b"
6," manner. Process of 【RESTORATION】 【RESTORATION】 feature ... ook, this impending 【ECOLOGICAL】 tragedy tragedy has ... trial gases such as 【CARBON DIOXIDE】 in the atmosphere t ... nicle FealulM Rain, 【DROUGHT】 and War Millions of ...  manner. Process of 【RESTORATION】 【RESTORATION】 feature ...  many Montreal-area 【CONSERVATION】ists, rarely more so ... n evaluating global 【CLIMATE CHANGE】. He said he was amo ... t diverse of marine 【ECOSYSTEMS】 and the home -of .t ...  to Scientists fear 【GLOBAL WARMING】 will destroy 4rain  ... nicle FealulM Rain, 【DROUGHT】 and War Millions of ... the last television 【ADAPTATION】 of Lucy Maud Montgo ... gent in designated, 【PROTECTED AREA】, For more informati ...  buildups linked to 【DEFORESTATION】. The Jamaican reefs"
7,"rists yesterday for 【RESTORATION】 work. Grim-faced ci ... rists yesterday for 【RESTORATION】 work. Grim-faced ci ... position comes from 【CONSERVATION】ists, 【CONSERVATION】is ... ger at cows for the 【GLOBAL WARMING】 and the destruction ... ada and the subsidy 【DROUGHT】. The Canada Council ... ts, concerned about 【ECOLOGICAL】 destruction from da ... nt in designated, I 【PROTECTED AREA】. For more informati ... ay. The annual Expo 【HABITAT】 show begins at Plac"
8,"in preparation for -【RESTORATION】 efforts to halt the ... in preparation for -【RESTORATION】 efforts to halt the ... keep fish. : Salmon 【CONSERVATION】ists and fisheries f ... keep fish. : Salmon 【CONSERVATION】ists and fisheries f ... genl in designaied, 【PROTECTED AREA】. For more Informati"
9,"MONTREAL. Beautiful 【RESTORATION】, lurn-key, close to ... ISJMI, W4-I6W, V,ra 【HABITAT】 67 - 4- or' 3 bedro ... MONTREAL. Beautiful 【RESTORATION】, lurn-key, close to ... Under pressure from 【CONSERVATION】ists, 【CONSERVATION】is ... rgency food aid for 【DROUGHT】 victims and refugee ... opening remark that 【ECOLOGICAL】 disasters disasters ... gent in designated, 【PROTECTED AREA】. For more infor mat"
10,"EFINISHING REPAIR k 【RESTORATION】 DINING SUITES BEDRO ... EFINISHING REPAIR k 【RESTORATION】 DINING SUITES BEDRO ... EFINISHING REPAIR k 【RESTORATION】 DINING SUITES BEDRO ... d cause significant 【ECOLOGICAL】 damage to the fores ... gent in designated, 【PROTECTED AREA】. For more informati ... ne seat sale was ai 【ENDANGERED SPECIES】 in Canada, our two "
11," BRITISH car parts. 【RESTORATION】 panels & accessorie ...  Ends of the Earth, 【ECOLOGICAL】 Imperialism Whose D ... r how you slice it, 【CARBON DIOXIDE】 (the main contribut ... oor wilh fireplace. 【HABITAT】ion G.A, Legault, 69 ...  BRITISH car parts. 【RESTORATION】 panels & accessorie ...  Ends of the Earth, 【ECOLOGICAL】 Imperialism Whose D ... ent in designated,I 【PROTECTED AREA】. For more informati"
12,"arcours ""hepeati UU 【RESTORATION】s 12:40 a.m. (33) Sn ... same. You create an 【ECOLOGICAL】 desert. Imagine the ... c matter, releasing 【METHANE】 into the atmosphere ... sts exposition Expo 【HABITAT】 is the only exposit ... sts exposition Expo 【HABITAT】 is the only exposit ... arcours ""hepeati UU 【RESTORATION】s 12:40 a.m. (33) Sn ... and contributing to 【GLOBAL WARMING】. ORDlflflCEnTRE' RE ... e ends long scoring 【DROUGHT】. Page D-2 . . D-11  ... ariste entreprend I'【ADAPTATION】 d'un roman anonyme  ... n-depth look at the 【ECOSYSTEM】 created by the Amaz ... sts exposition Expo 【HABITAT】 is the only exposit"
