line_number,context
1,"I Wt are offering 2 【SHOWERS】 8, 45 minutes ot re ... ."" S While children 【ARID】 the elderly have be ... n-Paul SMITH, Annie 【SNOW】, George Mark STEPHE ... ught the end of the 【COLD】 War and most other  ... ter the Miami Miami 【HURRICANE】s' thrashing of Alab ... rowers and Alberta W【HEAT】 Pool, Vancouver's s ... ught the end of the 【COLD】 War and most other  ... r new LP Cry Like a 【RAINSTORM】, Howl Like the Wind ... n-Paul SMITH, Annie 【SNOW】, George Mark STEPHE ... in woes hurt seaway 【THUNDER】 BAY, Ont. (CP) - Th ... f-S J I AT0MIC519or 【BLIZZARD】 VI9 Our reg. price  ... zing rain turned to 【LIGHT RAIN】 by afternoon. Yeste ...  S despite a steady 【DRIZZLE】 and cold wind off t ... rowers and Alberta W【HEAT】 Pool, Vancouver's s ... gular tie market by 【STORM】; others pick up on  ... bec. The dams would 【FLOOD】 thousands of square ... bec. The dams would 【FLOOD】 thousands of square ... highway accident as 【FREEZING】 rain makes roads ic ... n-Paul SMITH, Annie 【SNOW】, George Mark STEPHE ... but I thought Tony R【ICE】 was the guy who mad ... nt. (CP) - The 1988 【DROUGHT】 on the Prairies and ... in woes hurt seaway 【THUNDER】 BAY, Ont. (CP) - Th"
2,"in barracks without 【HEAT】 or electricity. bus ... th a possibility of 【SHOWERS】 developing late in  ... i 230 Rosemount 230 【SNOW】don 240 South Shore  ... Bridget Deegan (nee 【FLOOD】). Beloved brother o ... Bridget Deegan (nee 【FLOOD】). Beloved brother o ... nd-chill capable of 【FREEZING】 【FREEZING】 skin in ju ... rming trend. It was 【COLD】 out on the ice of M ... in barracks without 【HEAT】 or electricity. bus ... m as a shield, they 【STORM】ed the offices of th ... rming trend. It was 【COLD】 out on the ice of M ... i 230 Rosemount 230 【SNOW】don 240 South Shore  ... CP Farmer Lauretta R【ICE】 says she's a victim ... CP Farmer Lauretta R【ICE】 says she's a victim ... m as a shield, they 【STORM】ed the offices of th ... es, 32.6 seconds at 【THUNDER】 【THUNDER】 Bay, Ont. C ... t by recent Prairie 【DROUGHT】s. Under the free-tr ... es, 32.6 seconds at 【THUNDER】 【THUNDER】 Bay, Ont. C ... CP Farmer Lauretta R【ICE】 says she's a victim"
3,"I We are offering 2 【SHOWERS】 8. 45 minutes of re ... 55 Guy St. 939-1500 【GALE】RIES DES SOURCES (Tr ...  Australia today as 【HEATWAVE】 temperatures reachi ... aled off Noriega in 【SWELTERING】 room By RICHARD BOU ... n 10100 26 26 26 -2 【SNOW】walr 5000 26 26 26 T ... ing the building or 【COLD】 air from penetratin ... usually backed with 【HEAT】-sensitive adhesive. ... usually backed with 【HEAT】-sensitive adhesive. ... ing the building or 【COLD】 air from penetratin ... ets uncleared after 【SNOWFALL】s and driveways bloc ... n 10100 26 26 26 -2 【SNOW】walr 5000 26 26 26 T ... thwest northwest of 【THUNDER】 Bay. The Northern L ... morning followed by 【LIGHT RAIN】 or flurries. N. New ... usually backed with 【HEAT】-sensitive adhesive. ... elationship was too 【STORM】y and he felt his em ... Bridget Deegan (nee 【FLOOD】). Beloved brother o ... es with a risk : of 【FREEZING】 rain this after- no ... on Federation. ""The 【HEAVY RAIN】 and wind are in fac ... n 10100 26 26 26 -2 【SNOW】walr 5000 26 26 26 T ... a 13 115 15 14': Rad【ICE】 n 20 3 3 RalsPur I. ... c. 6, their longest 【DROUGHT】 since they also wen ... a 13 115 15 14': Rad【ICE】 n 20 3 3 RalsPur I."
4,"I We are offering 2 【SHOWERS】 8, 45 minutes of re ... NEXT DRAW: 90-01-06 【CYCLONE】 slams Madagascar, 1 ... test the effects of 【FREEZING】 on buried pipelines ... David, her daughter 【GALE】 and by four grandch ... deh Aqazadeh said a 【STORM】 ripped a hole in on ...  kit, Ansa, mags, 4 【SNOW】 tires, $7,900. Glor ... ial sector, sector, 【COLD】-climate technology. ... r storage, parking. 【HEAT】ed, 482-1173. PLAMON ... ial sector, sector, 【COLD】-climate technology. ...  kit, Ansa, mags, 4 【SNOW】 tires, $7,900. Glor ... 0. 735-7982.private 【THUNDER】BIRD 1979. Very good ... r storage, parking. 【HEAT】ed, 482-1173. PLAMON ... deh Aqazadeh said a 【STORM】 ripped a hole in on ... he world could face 【FLOOD】s, erosion and damag ... test the effects of 【FREEZING】 on buried pipelines ... NEXT DRAW: 90-01-06 【CYCLONE】 slams Madagascar, 1 ...  kit, Ansa, mags, 4 【SNOW】 tires, $7,900. Glor ... speed, excellent, pr【ICE】 sj, iuu. 257-B37SPr ... m $7,995 89 PONTIAC 【TEMPEST】 88 FORD TEMPO T Aut ... it by famine due to 【DROUGHT】 and crop failure, c ... 0. 735-7982.private 【THUNDER】BIRD 1979. Very good"
5,"rlect Gilt lor Baby 【SHOWERS】 or Newborns. A TisM ... ercury unveiled its 【CYCLONE】 con-ident con-ident ... ming out Daigneault 【ARID】 Dufresne, the Canad ... ay and do some brain【STORM】ing in a quiet setti ... f grandly defying a 【BLIZZARD】 on the slope of Mou ... rlect Gilt lor Baby 【SHOWERS】 or Newborns. A TisM ...  dinary MPs are not 【DELUGE】d with invitations i ... me applicants only. 【SNOW】don area. Call 733-3 ...  With the coming of 【COLD】 weather, weather, t ... e than a year since 【HURRICANE】 Gilbert ripped - th ... quash, racquetball, 【HEAT】ed indoor pool, saun ... quash, racquetball, 【HEAT】ed indoor pool, saun ...  With the coming of 【COLD】 weather, weather, t ... e than a year since 【HURRICANE】 Gilbert ripped - th ...  With the coming of 【COLD】 weather, weather, t ... s ED Brothers by Cho【ICE】 S3 Coup de pouce te ... er marked by sparse 【SNOWFALL】 and unseasonably wa ... me applicants only. 【SNOW】don area. Call 733-3 ... against the Seattle 【THUNDER】birds on the 21st. T ... ecause because of a 【WATER SHORTAGE】 in the region regio ... quash, racquetball, 【HEAT】ed indoor pool, saun ... ay and do some brain【STORM】ing in a quiet setti ... ilding all night in 【FREEZING】 temperatures. Many  ... sed by ; Thursday's 【HEAVY RAIN】 and yester-; yester ... me applicants only. 【SNOW】don area. Call 733-3 ... s ED Brothers by Cho【ICE】 S3 Coup de pouce te ...  $18,900 89 PONTIAC 【TEMPEST】 Automatic air, am-f ... s ED Brothers by Cho【ICE】 S3 Coup de pouce te"
6,", We are offering ? 【SHOWERS】 t 45 Sk'i'S,','! ,c ... the ""Race"" and the ""【CYCLONE】"" - appeared appeare ... perception of track 【ARID】 field. Surin and St ...  Come the first big 【SNOWSTORM】 you wheeled the old ... sured ATTENTION sn1 【SNOW】 flualilv, regislere ... xpensive hotel on a 【COLD】 morning, holding fo ... ckson, whose (11-I) 【HURRICANE】s received the nod o ...  1984, has electric 【HEAT】ing, extra soundproo ... nicle FealulM Rain, 【DROUGHT】 and War Millions of ... xpensive hotel on a 【COLD】 morning, holding fo ... ckson, whose (11-I) 【HURRICANE】s received the nod o ... ;5Jiq3Jipionship on 【ICE】 as early as last su ... ted to an overnight 【DOWNPOUR】 that made a muddy m ... sured ATTENTION sn1 【SNOW】 flualilv, regislere ...  protest from Aoun. 【THUNDER】ous shell blasts and ...  1984, has electric 【HEAT】ing, extra soundproo ... t to ride out ' the 【STORM】 with her late mothe ... t NRC chemist E. A. 【FLOOD】 in touch with the D ... t NRC chemist E. A. 【FLOOD】 in touch with the D ... the ""Race"" and the ""【CYCLONE】"" - appeared appeare ... sured ATTENTION sn1 【SNOW】 flualilv, regislere ... ;5Jiq3Jipionship on 【ICE】 as early as last su ...  $18,900 89 PONTIAC 【TEMPEST】 Automatic, air, am- ... nicle FealulM Rain, 【DROUGHT】 and War Millions of ...  protest from Aoun. 【THUNDER】ous shell blasts and ... ;5Jiq3Jipionship on 【ICE】 as early as last su"
7,"ding world champion 【HEAT】her Houston of Thund ... I We are ottering 2 【SHOWERS】 & 45 minutes of rel ... elayed delayed by a 【SNOWSTORM】. The St. Hyacinthe  ... ecause of a lack of 【SNOW】 will be held at Alt ... f when outside . in 【COLD】 weather. This will  ... ding world champion 【HEAT】her Houston of Thund ... s of below-av erage 【PRECIPITATION】 have lowered reserv ... ecause of a lack of 【SNOW】 will be held at Alt ... an."" John Wesley OFF【ICE】, RETAIL & INDUSTRIA ...  $18,900 89 PONTIAC 【TEMPEST】 Automatic, air, am- ... uting firm, Knightin【GALE】-Conant Corp. of Nil ...  Heather Houston of 【THUNDER】 【THUNDER】 Bay, Ont.,  ... ada and the subsidy 【DROUGHT】. The Canada Council ...  Heather Houston of 【THUNDER】 【THUNDER】 Bay, Ont.,  ... an."" John Wesley OFF【ICE】, RETAIL & INDUSTRIA"
8,"as the sweet season 【SHOWERS】 are to the ground."" ... . Extra clean rooms 【ARID】 efficiencies. Low r ... omped around in the 【SNOW】."" When Woodley's fa ... sense."" Bus drivers 【COLD】, angry rush-hour co ...  touch comes from a 【HEAT】ed flat-iron which g ...  touch comes from a 【HEAT】ed flat-iron which g ... sense."" Bus drivers 【COLD】, angry rush-hour co ... ing-pong balls in a 【HURRICANE】. Graffiti are poppi ... sense."" Bus drivers 【COLD】, angry rush-hour co ... possibly mixed with 【FREEZING】 drizzle, are expect ...  Lisbon Pcldy 14 10 【THUNDER】 Bay Snow -6 -8 Lond ... mixed with freezing 【DRIZZLE】, are expected. Laur ...  touch comes from a 【HEAT】ed flat-iron which g ... se because pf ""mild 【STORM】. Focus on personal  ... llution controls to 【FLOOD】 our market with the ... possibly mixed with 【FREEZING】 drizzle, are expect ... omped around in the 【SNOW】."" When Woodley's fa ... 499.Privale PONTIAC 【TEMPEST】 88, 6 cyl, F.I, air ... UY LESS THAN COST PR【ICE】!"" ' Coats (every ki ... UY LESS THAN COST PR【ICE】!"" ' Coats (every ki"
9,"aw StlM Chg, Oplnt W【HEAT】 S3N bn minlmuii Mia ... I We are offering 2 【SHOWERS】 & 45 minutes of rel ... usi sell! 150.0O0. F【ARID】 Naoum 744-2841 FANA ... dev 10000 3S' 35 35 【SNOW】lakey 1000 16 13. I( ... ut their old age in 【COLD】 Canadian winters. F ... now and a chance of 【FREEZING】 rain In the. mornin ... aw StlM Chg, Oplnt W【HEAT】 S3N bn minlmuii Mia ... ut their old age in 【COLD】 Canadian winters. F ... were displaced by a 【HURRICANE】 near the Tuma River ... dev 10000 3S' 35 35 【SNOW】lakey 1000 16 13. I( ...  Driver Auw PONTIAC 【TEMPEST】 1988, 26, V6, S-spe ... 8, up 381. ORANGE JU【ICE】 15300 Ibsj cents pt ... 8, up 381. ORANGE JU【ICE】 15300 Ibsj cents pt ... exds 9000 S 4 S Gldn【GALE】 3000 I I I GkJnhem  ... encar Auto 624-4000 【THUNDER】BIRD 1979. Very good ... rgency food aid for 【DROUGHT】 victims and refugee ... anuary 10, 1990 Mil 【BLIZZARD】 Titanal Slalom skis ... 8, up 381. ORANGE JU【ICE】 15300 Ibsj cents pt"
10,"utiful hostesses, 2 【SHOWERS】, 7 davs, 10a.m.- 10 ... ecent floods. Heavy 【RAINFALL】 in August and Novem ... ic a ;fair Rearing. 【ARID】 some urged support  ... ic a ;fair Rearing. 【ARID】 some urged support  ... rough the worst snow【STORM】 snow【STORM】 when less ... e through the worst 【SNOWSTORM】 【SNOWSTORM】 when less ... separately) 03ERS0N 【BLIZZARD】 PRICE (XPERT BOOTS  ... res may have turned 【SNOW】 to slush yesterday, ... 12(2 127 27 27 North【GALE】 3773 II 7 l Nova AI ...  Washington for the 【COLD】 War is well known.  ... Manning Manning and 【HEAT】her Burchmore. Four- ... Manning Manning and 【HEAT】her Burchmore. Four- ...  Washington for the 【COLD】 War is well known.  ...  Washington for the 【COLD】 War is well known.  ... res may have turned 【SNOW】 to slush yesterday, ... nfrequent stops. At 【THUNDER】 Bay you'd look out  ... separately) 03ERS0N 【BLIZZARD】 PRICE (XPERT BOOTS  ... Manning Manning and 【HEAT】her Burchmore. Four- ... or road hazards and 【FLOOD】s By CHARLIE FIDELMA ... res may have turned 【SNOW】 to slush yesterday, ...  Jeep Eagle PONTIAC 【TEMPEST】 88, 6 cyl, F.I., ai ...  Splits Cottages .PR【ICE】 STARTING AT $125,00 ...  Splits Cottages .PR【ICE】 STARTING AT $125,00"
